




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	upload_1 (8193)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
biological_process (GO:0008150)	17698	7605	7040.53	+	1.08	5.05E-64	7.94E-60
Unclassified (UNCLASSIFIED)	2897	588	1152.47	-	.51	5.05E-64	3.97E-60
detection of chemical stimulus involved in sensory perception (GO:0050907)	488	5	194.13	-	.03	2.17E-63	1.14E-59
cellular process (GO:0009987)	15074	6744	5996.66	+	1.12	2.97E-62	1.17E-58
cellular metabolic process (GO:0044237)	7029	3658	2796.24	+	1.31	1.65E-61	5.19E-58
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	4	176.23	-	.02	1.66E-58	4.34E-55
detection of chemical stimulus (GO:0009593)	524	18	208.46	-	.09	6.99E-54	1.57E-50
sensory perception of chemical stimulus (GO:0007606)	542	21	215.62	-	.10	1.17E-53	2.30E-50
detection of stimulus involved in sensory perception (GO:0050906)	558	24	221.98	-	.11	4.14E-53	7.23E-50
primary metabolic process (GO:0044238)	6869	3517	2732.59	+	1.29	6.63E-52	1.04E-48
metabolic process (GO:0008152)	7882	3933	3135.58	+	1.25	1.93E-51	2.75E-48
sensory perception of smell (GO:0007608)	468	13	186.18	-	.07	3.17E-51	4.15E-48
nitrogen compound metabolic process (GO:0006807)	6360	3295	2530.10	+	1.30	6.78E-51	8.19E-48
cellular macromolecule metabolic process (GO:0044260)	4442	2444	1767.09	+	1.38	2.52E-48	2.83E-45
organic substance metabolic process (GO:0071704)	7404	3709	2945.42	+	1.26	4.08E-48	4.28E-45
cellular component organization or biogenesis (GO:0071840)	5496	2849	2186.39	+	1.30	1.41E-41	1.39E-38
macromolecule metabolic process (GO:0043170)	5743	2947	2284.65	+	1.29	1.20E-40	1.11E-37
positive regulation of cellular process (GO:0048522)	5580	2860	2219.81	+	1.29	1.00E-38	8.76E-36
cellular component organization (GO:0016043)	5298	2739	2107.62	+	1.30	1.14E-38	9.42E-36
detection of stimulus (GO:0051606)	694	74	276.08	-	.27	4.08E-38	3.21E-35
positive regulation of biological process (GO:0048518)	6062	3041	2411.55	+	1.26	4.35E-36	3.26E-33
organonitrogen compound metabolic process (GO:1901564)	4787	2494	1904.34	+	1.31	5.83E-36	4.17E-33
cellular protein metabolic process (GO:0044267)	3219	1797	1280.57	+	1.40	7.93E-36	5.42E-33
regulation of cellular metabolic process (GO:0031323)	5928	2977	2358.25	+	1.26	2.45E-35	1.60E-32
regulation of metabolic process (GO:0019222)	6586	3253	2620.01	+	1.24	3.43E-35	2.16E-32
negative regulation of cellular process (GO:0048523)	4785	2480	1903.54	+	1.30	1.55E-34	9.40E-32
sensory perception (GO:0007600)	978	154	389.06	-	.40	1.47E-33	8.58E-31
organelle organization (GO:0006996)	3360	1841	1336.66	+	1.38	2.10E-33	1.18E-30
negative regulation of biological process (GO:0048519)	5187	2641	2063.47	+	1.28	3.29E-33	1.78E-30
regulation of macromolecule metabolic process (GO:0060255)	6083	3009	2419.91	+	1.24	7.61E-32	3.99E-29
regulation of nitrogen compound metabolic process (GO:0051171)	5537	2775	2202.70	+	1.26	1.49E-31	7.56E-29
regulation of primary metabolic process (GO:0080090)	5707	2845	2270.33	+	1.25	2.40E-31	1.18E-28
protein metabolic process (GO:0019538)	3807	2019	1514.48	+	1.33	6.50E-31	3.10E-28
G protein-coupled receptor signaling pathway (GO:0007186)	1216	229	483.74	-	.47	1.48E-30	6.86E-28
regulation of cellular component organization (GO:0051128)	2359	1336	938.45	+	1.42	1.37E-27	6.17E-25
positive regulation of metabolic process (GO:0009893)	3675	1929	1461.97	+	1.32	1.61E-27	7.03E-25
positive regulation of cellular metabolic process (GO:0031325)	3186	1709	1267.44	+	1.35	3.49E-27	1.48E-24
cellular response to stress (GO:0033554)	1519	935	604.28	+	1.55	4.34E-27	1.80E-24
regulation of cellular process (GO:0050794)	11076	4975	4406.20	+	1.13	7.89E-27	3.18E-24
regulation of biological process (GO:0050789)	11528	5147	4586.01	+	1.12	1.64E-26	6.44E-24
biological regulation (GO:0065007)	12249	5423	4872.84	+	1.11	2.83E-26	1.09E-23
cellular protein modification process (GO:0006464)	2610	1435	1038.30	+	1.38	1.17E-25	4.38E-23
protein modification process (GO:0036211)	2610	1435	1038.30	+	1.38	1.17E-25	4.27E-23
positive regulation of macromolecule metabolic process (GO:0010604)	3382	1781	1345.41	+	1.32	1.44E-25	5.13E-23
positive regulation of nitrogen compound metabolic process (GO:0051173)	2992	1606	1190.26	+	1.35	1.81E-25	6.32E-23
macromolecule modification (GO:0043412)	2825	1523	1123.83	+	1.36	1.41E-24	4.82E-22
organic substance biosynthetic process (GO:1901576)	2354	1305	936.46	+	1.39	3.66E-24	1.22E-21
biosynthetic process (GO:0009058)	2420	1333	962.71	+	1.38	6.24E-24	2.04E-21
cellular nitrogen compound metabolic process (GO:0034641)	3193	1680	1270.22	+	1.32	9.39E-24	3.01E-21
cellular biosynthetic process (GO:0044249)	2293	1273	912.19	+	1.40	1.08E-23	3.38E-21
regulation of signaling (GO:0023051)	3257	1706	1295.68	+	1.32	1.65E-23	5.10E-21
regulation of protein metabolic process (GO:0051246)	2492	1359	991.35	+	1.37	4.12E-23	1.25E-20
regulation of cell communication (GO:0010646)	3242	1693	1289.72	+	1.31	6.42E-23	1.90E-20
regulation of biosynthetic process (GO:0009889)	4152	2091	1651.73	+	1.27	7.82E-23	2.28E-20
regulation of cellular biosynthetic process (GO:0031326)	4088	2059	1626.27	+	1.27	1.87E-22	5.36E-20
regulation of macromolecule biosynthetic process (GO:0010556)	3935	1991	1565.40	+	1.27	2.51E-22	7.06E-20
regulation of signal transduction (GO:0009966)	2867	1518	1140.54	+	1.33	4.22E-22	1.16E-19
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3906	1976	1553.87	+	1.27	4.27E-22	1.16E-19
macromolecule localization (GO:0033036)	2308	1263	918.16	+	1.38	8.84E-22	2.35E-19
regulation of cellular protein metabolic process (GO:0032268)	2328	1271	926.11	+	1.37	1.21E-21	3.16E-19
adaptive immune response (GO:0002250)	640	103	254.60	-	.40	1.49E-21	3.83E-19
protein localization (GO:0008104)	1901	1073	756.25	+	1.42	1.59E-21	4.04E-19
cellular localization (GO:0051641)	2264	1237	900.65	+	1.37	4.05E-21	1.01E-18
cell cycle (GO:0007049)	1205	739	479.37	+	1.54	5.10E-21	1.25E-18
nervous system process (GO:0050877)	1418	335	564.10	-	.59	1.86E-20	4.50E-18
regulation of gene expression (GO:0010468)	4749	2318	1889.22	+	1.23	3.00E-20	7.15E-18
localization (GO:0051179)	5081	2451	2021.30	+	1.21	1.36E-19	3.18E-17
nucleobase-containing compound metabolic process (GO:0006139)	2474	1315	984.19	+	1.34	2.32E-19	5.37E-17
negative regulation of macromolecule metabolic process (GO:0010605)	2737	1433	1088.82	+	1.32	2.37E-19	5.39E-17
heterocycle metabolic process (GO:0046483)	2625	1383	1044.26	+	1.32	2.38E-19	5.34E-17
multicellular organism development (GO:0007275)	4525	2209	1800.11	+	1.23	3.91E-19	8.65E-17
regulation of response to stimulus (GO:0048583)	3805	1899	1513.69	+	1.25	4.56E-19	9.95E-17
negative regulation of cellular metabolic process (GO:0031324)	2546	1344	1012.84	+	1.33	5.69E-19	1.22E-16
cellular aromatic compound metabolic process (GO:0006725)	2688	1407	1069.33	+	1.32	5.89E-19	1.25E-16
negative regulation of nitrogen compound metabolic process (GO:0051172)	2380	1268	946.80	+	1.34	7.36E-19	1.54E-16
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3931	1949	1563.81	+	1.25	1.13E-18	2.34E-16
negative regulation of metabolic process (GO:0009892)	2952	1521	1174.35	+	1.30	1.26E-18	2.57E-16
organic cyclic compound metabolic process (GO:1901360)	2922	1508	1162.42	+	1.30	1.27E-18	2.56E-16
response to organic substance (GO:0010033)	2688	1402	1069.33	+	1.31	1.83E-18	3.64E-16
phosphorus metabolic process (GO:0006793)	1779	989	707.71	+	1.40	2.62E-18	5.15E-16
phosphate-containing compound metabolic process (GO:0006796)	1758	975	699.36	+	1.39	6.80E-18	1.32E-15
cellular component biogenesis (GO:0044085)	2481	1301	986.98	+	1.32	1.35E-17	2.59E-15
regulation of cell cycle (GO:0051726)	1001	614	398.21	+	1.54	1.59E-17	3.02E-15
developmental process (GO:0032502)	5565	2628	2213.84	+	1.19	1.66E-17	3.11E-15
mitotic cell cycle (GO:0000278)	599	411	238.29	+	1.72	2.50E-17	4.61E-15
regulation of developmental process (GO:0050793)	2368	1247	942.03	+	1.32	2.94E-17	5.37E-15
anatomical structure development (GO:0048856)	5001	2386	1989.47	+	1.20	4.13E-17	7.45E-15
system development (GO:0048731)	4169	2030	1658.49	+	1.22	6.10E-17	1.09E-14
cellular macromolecule localization (GO:0070727)	1386	793	551.37	+	1.44	7.20E-17	1.27E-14
macromolecule biosynthetic process (GO:0009059)	1391	795	553.36	+	1.44	7.99E-17	1.40E-14
regulation of RNA metabolic process (GO:0051252)	3698	1825	1471.12	+	1.24	1.04E-16	1.79E-14
cellular protein localization (GO:0034613)	1376	787	547.39	+	1.44	1.06E-16	1.81E-14
cellular macromolecule biosynthetic process (GO:0034645)	1368	783	544.21	+	1.44	1.10E-16	1.85E-14
regulation of organelle organization (GO:0033043)	1189	698	473.00	+	1.48	1.17E-16	1.96E-14
mitotic cell cycle process (GO:1903047)	509	359	202.49	+	1.77	1.38E-16	2.29E-14
positive regulation of macromolecule biosynthetic process (GO:0010557)	1847	1002	734.76	+	1.36	2.49E-16	4.07E-14
positive regulation of cellular biosynthetic process (GO:0031328)	1949	1046	775.34	+	1.35	3.89E-16	6.30E-14
positive regulation of biosynthetic process (GO:0009891)	1985	1062	789.66	+	1.34	4.52E-16	7.24E-14
regulation of protein modification process (GO:0031399)	1483	831	589.96	+	1.41	4.90E-16	7.79E-14
positive regulation of protein metabolic process (GO:0051247)	1455	818	578.82	+	1.41	5.11E-16	8.04E-14
nucleic acid metabolic process (GO:0090304)	2007	1069	798.41	+	1.34	8.53E-16	1.33E-13
cell cycle process (GO:0022402)	802	501	319.05	+	1.57	1.85E-15	2.85E-13
regulation of molecular function (GO:0065009)	3060	1532	1217.31	+	1.26	2.24E-15	3.41E-13
cellular component assembly (GO:0022607)	2251	1172	895.48	+	1.31	3.85E-15	5.82E-13
positive regulation of cellular component organization (GO:0051130)	1119	650	445.15	+	1.46	7.60E-15	1.14E-12
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1902	1012	756.64	+	1.34	8.16E-15	1.21E-12
regulation of intracellular signal transduction (GO:1902531)	1655	899	658.38	+	1.37	8.79E-15	1.29E-12
positive regulation of cellular protein metabolic process (GO:0032270)	1366	764	543.42	+	1.41	1.33E-14	1.93E-12
cell division (GO:0051301)	499	342	198.51	+	1.72	1.48E-14	2.13E-12
establishment of protein localization (GO:0045184)	1273	719	506.42	+	1.42	1.84E-14	2.63E-12
regulation of catabolic process (GO:0009894)	956	567	380.31	+	1.49	2.77E-14	3.92E-12
regulation of cell death (GO:0010941)	1593	865	633.72	+	1.36	3.29E-14	4.61E-12
nitrogen compound transport (GO:0071705)	1578	858	627.75	+	1.37	3.69E-14	5.14E-12
establishment of localization in cell (GO:0051649)	1618	875	643.66	+	1.36	4.77E-14	6.58E-12
regulation of RNA biosynthetic process (GO:2001141)	3421	1672	1360.93	+	1.23	4.85E-14	6.62E-12
regulation of nucleic acid-templated transcription (GO:1903506)	3416	1669	1358.94	+	1.23	6.04E-14	8.19E-12
intracellular signal transduction (GO:0035556)	1464	803	582.40	+	1.38	6.05E-14	8.13E-12
